IDŐ, ÚTX, DELTAX, FX
 357, 39.666866, 0.153748, 4742.625000
 358, 39.820614, 0.153748, 4742.625000
 359, 39.974361, 0.153748, 4742.625000
 360, 40.128109, 0.153748, 4742.625000
 361, 40.281857, 0.153748, 4742.625000
 362, 40.435604, 0.153748, 4742.625000
 363, 40.589352, 0.153748, 4742.625000
 364, 40.743099, 0.153748, 4742.625000
 365, 40.896847, 0.153748, 4742.625000
 366, 41.050594, 0.153748, 4742.625000
 367, 41.204342, 0.153748, 4742.625000
 368, 41.358089, 0.153748, 4742.625000
 369, 41.511837, 0.153748, 4742.625000
 370, 41.665585, 0.153748, 4742.625000
 371, 41.819332, 0.153748, 4742.625000
 372, 41.973080, 0.153748, 4742.625000
 373, 42.126827, 0.153748, 4742.625000
 374, 42.280575, 0.153748, 4742.625000
 375, 42.434322, 0.153748, 4742.625000
 376, 42.588070, 0.153748, 4742.625000
 377, 42.741817, 0.153748, 4742.625000
 378, 42.895565, 0.153748, 4742.625000
 379, 43.049313, 0.153748, 4742.625000
 380, 43.203060, 0.153748, 4742.625000
 381, 43.356808, 0.153748, 4742.625000
 382, 43.510555, 0.153748, 4742.625000
 383, 43.664303, 0.153748, 4742.625000
 384, 43.818050, 0.153748, 4742.625000
 385, 43.971798, 0.153748, 4742.625000
 386, 44.125546, 0.153748, 4742.625000
 387, 44.279293, 0.153748, 4742.625000
 388, 44.433041, 0.153748, 4742.625000
 389, 44.586788, 0.153748, 4742.625000
 390, 44.740536, 0.153748, 4742.625000
 391, 44.894283, 0.153748, 4742.625000
 392, 45.048031, 0.153748, 4742.625000
 393, 45.201778, 0.153748, 4742.625000
 394, 45.355526, 0.153748, 4742.625000
 395, 45.509274, 0.153748, 4742.625000
 396, 45.663021, 0.153748, 4742.625000
 397, 45.816769, 0.153748, 4742.625000
 398, 45.970516, 0.153748, 4742.625000
 399, 46.124264, 0.153748, 4742.625000
 400, 46.124264, 0.000000, 4708.800293
 401, 46.124264, 0.000000, 4708.800293
 402, 46.124264, 0.000000, 4708.800293
 403, 46.124264, 0.000000, 4708.800293
 404, 46.124264, 0.000000, 4708.800293
 405, 46.124264, 0.000000, 4708.800293
 406, 46.124264, 0.000000, 4708.800293
 407, 46.124264, 0.000000, 4708.800293
 408, 46.124264, 0.000000, 4708.800293
 409, 46.124264, 0.000000, 4708.800293
